Year,Boys_Participants,Girls_Participants,Total
1971-72,3666917,294015,3960932
1972-73,3770621,817073,4587694
1973-74,4070125,1300169,5370294
1975-76,4109021,1645039,5754060
1977-78,4367442,2083040,6450482
1978-79,3709512,1854400,5563912
1979-80,3517829,1750264,5268093
1980-81,3503124,1853789,5356913
1981-82,3409081,1810671,5219752
1982-83,3355558,1779972,5135530
1983-84,3303599,1747346,5050945
1984-85,3354284,1757884,5112168
1985-86,3344275,1807121,5151396
1986-87,3364082,1836356,5200438
1987-88,3425777,1849684,5275461
1988-89,3416844,1839352,5256196
1989-90,3398192,1858659,5256851
1990-91,3406355,1892316,5298671
1991-92,3429853,1940801,5370654
1992-93,3416389,1997489,5413878
1993-94,3472967,2130315,5603282
1994-95,3536359,2240461,5776820
1995-96,3634052,2367936,6001988
1996-97,3706225,2474043,6180268
1997-98,3763120,2570333,6333453
1998-99,3832352,2652726,6485078
1999-00,3861749,2675874,6537623
2000-01,3921069,2784154,6705223
2001-02,3960517,2806998,6767515
2002-03,3988738,2856358,6845096
2003-04,4038253,2865299,6903552
2004-05,4110319,2908390,7018709
2005-06,4206549,2953355,7159904
2006-07,4321103,3021807,7342910
2007-08,4372115,3057266,7429381
2008-09,4422662,3114091,7536753
2009-10,4455740,3172637,7628377
2010-11,4494406,3173549,7667955
2011-12,4484987,3207533,7692520
2012-13,4490854,3222723,7713577
2013-14,4527994,3267664,7795658
2014-15,4519312,3287735,7807047
2015-16,4541959,3324306,7866265
2016-17,4563238,3400297,7963535
2017-18,4565580,3415306,7980886
2018-19,4534758,3402733,7937491
2021-22,4376582,3241472,7618054
2022-23,4529795,3318184,7851833
2023-24,4638785,3423517,8062302
